timestamp,storage_pool,datastore,latency_ms,iops,throughput_mbps,queue_depth_avg,capacity_used_pct
2026-08-25 13:50,POOL-FLASH-01,DS-IB-01,2.0,8200,410,0.0,63
2026-08-25 13:55,POOL-FLASH-01,DS-IB-01,2.1,8500,420,0.0,63
2026-08-25 14:00,POOL-FLASH-01,DS-IB-01,2.2,8700,430,0.0,63
2026-08-25 14:05,POOL-FLASH-01,DS-IB-01,2.3,9000,440,0.0,63
2026-08-25 14:10,POOL-FLASH-01,DS-IB-01,2.4,9200,450,0.0,63
2026-08-25 14:15,POOL-FLASH-01,DS-IB-01,2.4,9300,450,0.0,63
2026-08-25 14:20,POOL-FLASH-01,DS-IB-01,2.2,9000,440,0.0,63
2026-08-25 14:25,POOL-FLASH-01,DS-IB-01,2.1,8600,420,0.0,63
2026-08-26 09:50,POOL-FLASH-01,DS-IB-01,2.1,8400,415,0.0,64
2026-08-26 09:55,POOL-FLASH-01,DS-IB-01,2.4,9000,430,0.0,64
2026-08-26 10:00,POOL-FLASH-01,DS-IB-01,12.0,18000,820,0.1,64
2026-08-26 10:05,POOL-FLASH-01,DS-IB-01,28.0,32000,1450,0.5,64
2026-08-26 10:10,POOL-FLASH-01,DS-IB-01,35.0,41000,1900,1.2,64
2026-08-26 10:15,POOL-FLASH-01,DS-IB-01,32.0,39000,1800,0.9,64
2026-08-26 10:20,POOL-FLASH-01,DS-IB-01,18.0,22000,1000,0.3,64
2026-08-26 10:25,POOL-FLASH-01,DS-IB-01,4.8,11000,520,0.0,64
